5900,1
6600,2
7200,3
7900,4
8600,4
9300,3
9900,2
10600,1
11200,1
11900,2
12600,3
13300,4
13900,4
14500,3
15200,2
15900,1
16600,1
17200,3
17900,4
18500,2
19200,1
19900,3
20500,4
21200,2
21900,1
22500,1
23200,4
23900,5
24500,3
25200,2
25900,5
26500,4
27200,1
27900,5
28500,4
29200,2
29800,5
30500,4
31100,5
31800,1
32500,4
33100,2
33800,5
34500,3
35200,4
35800,1
36400,5
37200,2
37800,4
38200,3
38500,5
38900,2
40500,4
40900,3
41200,5
41500,2
43200,4
43500,3
43800,5
44200,2
45900,1
46400,2
47100,3
47800,4
48400,5
51200,5
51800,4
52500,3
53100,2
53800,1
55100,1
55800,4
56500,5
57200,2
57800,3
59100,1
59800,5
60500,2
61100,4
61800,5
62500,1
63100,3
63800,5
64500,1
65100,2
65800,4
66400,5
67100,4
67800,1
68400,5
69000,2
69700,4
70400,3
71100,5
71800,5
72400,4
73100,2
73700,1
74300,3
75100,5
75800,4
76400,2
76900,1
77700,4
78400,5
79100,3
79600,4
80400,5
81100,4
81700,2
82200,1
82700,2
84400,2
84600,3
84800,4
84900,5
